#Lambda		#gdark		#mchi		#mbx		#mphi		#omega 
   1.0000000000000000E-008   1.2310982500000000E-003  0.29999999999999999        1.0000000000000000E-002   5.0000000000000000       0.17071498050400000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.10000000000000001        5.0000000000000001E-003   1.0000000000000000       0.17064039055300001     
   1.0000000000000000E-008   9.8487860000000000E-004  0.10000000000000001        8.0000000000000002E-003   1.0000000000000000       0.16810461538099999     
   1.0000000000000000E-008   1.2310982500000000E-003  0.10000000000000001        1.0000000000000000E-002   1.0000000000000000       0.16583420165900001     
   1.0000000000000000E-008   2.4621965000000000E-003  0.29999999999999999        2.0000000000000000E-002   10.000000000000000       0.15459931769999999     
   1.0000000000000000E-008   2.4621965000000000E-003  0.29999999999999999        2.0000000000000000E-002   8.0000000000000000       0.15454252414899999     
   1.0000000000000000E-008   2.4621965000000000E-003  0.29999999999999999        2.0000000000000000E-002   5.0000000000000000       0.15401046205600000     
   1.0000000000000000E-008   2.4621965000000000E-003  0.10000000000000001        2.0000000000000000E-002   1.0000000000000000       0.14919153874400001     
   1.0000000000000001E-009   4.9243930000000000E-003   2.0000000000000000       0.40000000000000002        5.0000000000000000       0.14429876449400000     
   1.0000000000000000E-008   1.2310983000000000E-005  0.40000000000000002        1.0000000000000000E-004   10.000000000000000       0.13607368489700000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.40000000000000002        5.0000000000000001E-004   10.000000000000000       0.13606444940199999     
   1.0000000000000000E-008   1.2310982500000000E-004  0.40000000000000002        1.0000000000000000E-003   10.000000000000000       0.13603559672400001     
   1.0000000000000000E-008   1.2310983000000000E-005  0.40000000000000002        1.0000000000000000E-004   8.0000000000000000       0.13599814911600000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.40000000000000002        5.0000000000000001E-004   8.0000000000000000       0.13598892425199999     
   1.0000000000000000E-008   1.2310982500000000E-004  0.40000000000000002        1.0000000000000000E-003   8.0000000000000000       0.13596010478300000     
   1.0000000000000000E-008   2.4621965000000000E-004  0.40000000000000002        2.0000000000000000E-003   10.000000000000000       0.13592031080799999     
   1.0000000000000000E-008   2.4621965000000000E-004  0.40000000000000002        2.0000000000000000E-003   8.0000000000000000       0.13584495148600001     
